Country,AgeDiffAll,AdjRD-All,AgeDiffMax10,AdjRD-Max10,AgeDiffMax1,AdjRD-Max1
RUS,-9.07497303,217.33621,-12.2,359.129978,-30,-20.094724
GER,0.03296009,147.882608,-10.3,124.323262,-25,139.461559
FRA,0.21684694,94.049363,-7.1,92.679864,-23,267.086036
IND,2.64982456,220.792281,-6.9,74.24292,-23,165.888379
POL,2.75357843,90.251114,-6.2,57.226841,-20,-64.236461
ESP,3.02593085,425.443484,-6.2,174.86652,-19,299.003756
IRI,3.44980625,98.301108,-5.1,99.950955,-18,79.091234
UKR,4.10538956,-18.762772,-5.1,67.621302,-17,185.760151
HUN,4.20632845,267.694038,-4.9,142.332192,-17,324.779504
BRA,4.33181126,87.124288,-4.7,51.767967,-12,229.099833
GRE,4.36948332,218.156197,-4.3,8.771287,-12,251.76459
SRB,4.50026261,336.243172,-4.2,120.337964,-11,216.184733
TUR,5.93604651,116.854469,-4.1,156.844063,-11,8.375435
CZE,5.94872825,251.661714,-3.8,179.387614,-11,260.919157
ITA,6.0775336,410.958268,-3.8,149.317234,-11,112.281489
SRI,6.42753697,-79.202958,-3.6,191.382414,-10,252.529208
ROU,7.32507409,119.741256,-3.3,97.006334,-10,277.613589
COL,7.50331625,28.196714,-3.1,129.386487,-9,185.212365
CUB,7.70475654,27.271039,-2.9,33.072896,-7,54.328143
MEX,7.70833333,19.45261,-2.9,109.787487,-6,135.043169
USA,7.71766905,54.425871,-2.6,131.440304,-6,335.802776
GEO,7.95882584,30.403411,-2.2,179.060295,-4,154.147159
NED,8.02081744,129.865839,-2.2,157.850542,-4,114.804602
CHN,8.16517323,53.355654,-1.9,169.687058,-4,301.4391
ECU,8.40044449,190.580412,-1.8,125.749276,-4,83.433784
CRO,8.62406015,141.81391,-1.7,168.39144,-4,261.969871
VIE,8.70929698,76.230676,-1.6,132.424507,-3,112.046803
VEN,8.7449625,-33.157903,-1.3,184.515336,-3,175.786533
BUL,8.76740791,4.528162,-1.2,96.709446,-3,77.92513
ENG,8.95738636,289.526136,-1.1,207.359821,-2,139.782561
AUT,8.97818545,28.228719,-0.8,93.209055,-2,121.10414
KAZ,9.09593664,-14.098639,-0.1,190.726391,0,253.491571
SVK,9.11161432,155.434871,-0.1,98.244906,0,236.039487
AZE,9.23199751,148.662239,0,61.997937,0,59.52728
ARG,9.47356219,106.27529,0.1,95.727724,1,115.813223
PER,9.57712501,140.957848,0.3,158.973582,1,316.586614
SLO,9.58405797,75.552174,0.4,137.920964,1,207.15486
LTU,9.84016921,109.635865,0.5,122.859267,2,-36.287233
POR,9.90475562,170.556763,0.5,95.48275,2,101.407659
KOR,10,-29.290476,0.5,77.925662,2,166.045079
BLR,10.42868432,69.593846,1,70.902286,2,32.293392
NOR,10.45325147,179.30473,1,120.568206,3,586.784067
SWE,10.45926747,22.882544,1,157.635742,4,70.905777
BEL,10.46841699,100.010888,1.2,4.886647,6,174.431711
AUS,10.69838957,91.030215,1.2,135.529986,7,64.360711
ARM,10.78296387,61.76735,1.8,128.688145,7,199.22278
MAS,10.8182117,91.940302,2.1,146.76393,7,117.120531
ISR,10.90531732,84.083921,2.1,60.511573,7,39.707542
CHI,10.91530883,41.208728,2.3,323.972735,7,397.590747
PHI,10.9497047,60.820371,3.3,150.398365,8,227.388682
LAT,11.11893144,150.959479,3.4,81.795618,9,109.78111
RSA,11.15714035,111.74798,3.4,149.2712,9,97.764822
UZB,11.30851823,24.733777,4.6,136.604111,9,155.032048
INA,11.32630273,161.123449,4.6,131.161826,9,124.557458
MGL,11.51201672,5.386155,4.6,9.047559,9,305.391867
SUI,11.60463547,82.922366,4.7,79.614322,11,62.428984
CAN,11.74238351,163.314292,4.7,431.393831,11,277.648145
EGY,11.9274857,28.834004,5.3,127.446132,11,190.183478
MDA,12.00782829,-21.294654,5.5,169.852234,11,154.5984
DEN,12.08996631,84.223199,5.7,299.141201,12,174.790015
BAN,12.10863609,243.547392,6.2,117.581932,12,535.515678
TKM,12.11079673,100.004386,6.2,82.063341,16,188.405123
CRC,12.32204067,124.870354,6.6,86.759256,17,217.203332
ALG,12.33043282,53.622779,6.9,174.284528,18,25.835912
EST,12.34259496,123.336472,7.4,284.211699,19,251.88911
BOL,12.45623023,61.945313,7.9,225.614254,19,238.716301
KEN,12.77232107,125.495252,8.7,146.34658,20,-58.421531
BIH,12.86034925,133.567097,8.7,117.793821,20,117.87588
ZAM,13.13542068,171.510481,9.3,413.318313,21,126.906764
SGP,14.22927489,107.541221,9.4,94.782883,23,91.544508
DOM,14.25645884,87.128761,9.6,183.6517,23,156.578999
BOT,14.34974618,70.356795,12.5,185.866954,26,189.762465
IRQ,14.67680339,183.149143,13.4,158.80226,27,49.7521
THA,15.11197133,41.810507,14.8,234.145312,27,114.682681
UAE,15.66134479,25.082874,15.2,281.094788,29,221.125203
NGR,15.98989407,140.483136,15.2,280.491324,35,170.649672
ZIM,16.13303914,96.344032,22.2,115.519749,40,405.247734
COEF,173.3437762,-5.986102022,145.1985431,2.638718262,163.5529089,0.194410282
