Country,AgeDiffAll,AdjRD-All,AgeDiffMax10,AdjRD-Max10,AgeDiffMax1,AdjRD-Max1
RUS,-7.36285141,193.49538,-8.8888889,120.302024,-30,-16.529445
IND,-0.46323368,68.77563,-6.3,140.561363,-27,136.581908
FRA,0.011637179,188.68404,-5.6,96.638098,-24,155.838255
GER,1.32152778,189.40931,-4.7,98.003409,-23,183.95737
ESP,2.05242165,95.90189,-3.5,137.207871,-18,298.856155
POL,2.48382126,99.59961,-3,26.964384,-17,170.53134
IRI,2.63315859,76.27531,-2.5,106.383009,-16,172.623968
TUR,2.94440678,99.52339,-1.8,48.10417,-12,251.163156
GRE,3.5566555,266.33285,-1.1,155.23574,-11,235.456852
SRI,3.93010753,379.02904,-0.5,65.14994,-11,73.600659
CZE,4.20067729,37.43083,-0.3333333,147.345768,-11,230.731698
ITA,4.28898582,212.03139,0.2,91.763841,-11,203.646473
BRA,4.37403305,55.49729,0.4,172.055145,-10,272.41501
HUN,4.44853646,132.75921,1.4,163.0685,-10,281.878383
ROU,4.81104588,136.63416,1.5,97.89113,-9,249.312797
KAZ,4.92873768,36.19948,1.6,54.291929,-7,85.154894
UKR,5.35428393,130.139,1.7,180.548743,-6,150.756009
USA,6.90757632,155.32027,1.8,105.46643,-6,376.541289
CHN,7.18340837,133.77822,1.9,213.176619,-4,160.012562
PER,7.39105691,142.84304,1.9,155.262566,-4,108.076037
COL,7.47324757,117.12528,2,372.947915,-4,279.66672
MAS,7.60666579,114.92725,2.1,172.75338,-4,271.167578
SRB,7.61020036,430.65486,2.1,206.756581,-3,32.153344
CUB,7.65558963,199.74071,2.2,96.805007,-3,155.567045
AZE,7.77213166,109.0307,2.3,231.152611,-3,495.558013
GEO,8.29784212,152.63081,2.5,93.78286,-2,160.074857
SVK,8.67328525,138.3954,2.5,125.880692,-2,141.083592
MEX,8.85489447,272.21322,2.6,154.679417,-2,284.525148
CRO,8.86315409,242.46719,3.1,172.50092,-1,306.12521
BOL,8.86325854,161.24914,3.8888889,245.286035,-1,248.770645
NED,9.18203552,392.22883,3.9,191.794434,-1,269.154135
PHI,9.35417059,72.04524,4,134.451615,0,80.581378
ENG,9.67876588,264.80132,4,143.485696,0,242.202929
AUT,9.767587809,182.28098,4.5,259.121614,1,145.495479
BEL,9.79633911,217.00661,4.6,274.222961,1,245.656209
VIE,10.06031256,178.02411,4.7,150.169899,1,119.298132
ECU,10.5433726,193.05154,4.9,130.196905,1,228.190064
CHI,10.70605311,234.71646,5.1,104.068963,2,91.084904
ARG,10.91544078,231.80673,5.2,167.541431,2,-39.627798
UZB,11.68388814,84.00786,5.4,166.263992,3,645.93161
VEN,11.92952059,163.87938,5.4,283.95924,4,83.650613
RSA,11.9721473,181.50543,5.6,267.422619,4,356.400203
SWE,12.51354496,185.3407,5.8,142.668968,5,330.382843
BUL,12.58840565,196.71238,5.9,173.74467,5,50.656731
ISR,12.61203585,180.22531,6.1,240.664669,5,361.626376
AUS,12.70032154,164.23117,6.5,231.849656,6,204.534327
NOR,12.91477561,141.61753,6.8,103.035243,6,312.182832
LTU,13.18342246,223.05205,7.2,250.134677,7,33.457452
CRC,13.35299042,208.56778,7.5,136.54109,7,127.104575
MGL,13.48065238,262.74597,7.5,370.037585,7,375.284884
SLO,13.62884148,214.41364,7.6,133.679591,8,185.932857
LAT,13.71889401,148.3604,7.7,205.103905,8,391.912824
BLR,13.72314982,130.0887,7.7,96.588995,9,124.244623
ARM,13.83151664,244.25099,8.25,392.716609,9,125.100782
SUI,14.5124005,86.63638,8.3,37.070957,9,216.167655
BOT,14.75487523,196.37701,8.5714286,274.661417,9,499.139529
EGY,14.95802079,128.81479,8.8,267.144012,11,231.939589
INA,15.18216683,288.551499,9.1,76.901466,11,237.269337
CAN,15.24308847,213.94974,9.2,120.179235,11,323.164874
BAN,15.30288462,215.71739,9.9,276.276252,11,190.414167
KOR,15.39612307,211.73935,10.6,164.443624,12,302.88469
ALG,15.41400529,254.22588,10.9,233.855088,15,173.367392
UAE,15.68186398,262.19913,11,203.785789,15,212.64172
MDA,16.1984351,196.13829,11.3,221.749396,16,166.362764
KGZ,16.94179242,170.78478,11.9,292.178067,17,233.161131
DEN,17.05631746,211.88234,11.9,275.075362,18,85.881443
POR,17.18930411,214.83948,12.1111111,253.449708,19,245.890973
KEN,17.19911453,219.82613,12.3,230.482341,19,329.363004
IRQ,17.39545871,128.15876,12.3333333,508.517635,20,151.365467
EST,17.74061666,100.84171,12.5,100.01658,20,-47.640791
NEP,17.81480015,267.19903,12.7,218.491911,21,153.572921
SGP,18.13528254,227.78653,13,176.281838,21,347.711222
ZAM,19.42739063,211.77567,13.1,111.118561,23,96.249447
THA,19.56513333,234.53873,13.1,258.744479,23,146.403068
JOR,20.20396274,177.18988,13.2,188.557295,23,142.251626
BIH,20.90801099,238.11203,13.5,357.429712,24,145.863177
ANG,22.04778646,166.03965,14.1,118.620495,25,265.488698
ZIM,22.56455712,209.78403,14.8,173.719089,26,195.082363
DOM,24.09580364,319.84884,18.6,326.446766,27,139.467607
COEF,149.4681862,3.283945667,145.0352328,7.337626906,191.4143095,2.241799809
