"","V1","V2","V3","V4","V5","V6","V7"
"1","Country","AgeDiffAll","AdjRD-All","AgeDiffMax10","AdjRD-Max10","AgeDiffMax1","AdjRD-Max1"
"2","RUS","-9.982234671","111.9473104","-12.9","118.661797","-44","125.64113"
"3","IND","-1.068513923","88.73903583","-8.6","207.38918","-30","5.90325999999999"
"4","FRA","0.463177201","65.58276274","-8","136.490095","-25","154.27657"
"5","GER","2.057417555","81.17719038","-7","211.182524","-23","212.36368"
"6","POL","2.64649813","98.10369912","-6.9","117.703119","-23","267.09025"
"7","ESP","3.577245053","112.5098935","-6.8","142.217489","-20","-42.40044"
"8","IRI","3.581437942","271.2827455","-6.75","174.955853","-19","317.93577"
"9","TUR","3.813876967","303.5979728","-6.7","198.884245","-18","245.85969"
"10","SRI","3.921881441","28.78938196","-6.2","90.06888","-18","123.47483"
"11","GRE","4.27948092","132.0230758","-5.1","105.740106","-17","211.00918"
"12","UKR","4.372954076","430.0627584","-4.9","122.791676","-17","334.32746"
"13","BRA","4.466709901","219.3216397","-4.6","128.364193","-16","144.99456"
"14","ROU","4.503536068","321.0660714","-4.2","105.783588","-12","251.43181"
"15","ITA","4.583433298","218.0358527","-4.2","165.779259","-12","279.39013"
"16","HUN","4.648956357","98.06515731","-3.1","154.082215","-11","233.06005"
"17","CZE","4.659070065","52.23331327","-2.9","211.429732","-11","62.23909"
"18","CHN","4.793205037","10.61731577","-2.8","180.949615","-11","180.57445"
"19","USA","5.020271674","52.03228598","-2.6","189.503403","-11","284.38963"
"20","PER","5.502416475","57.45768614","-2.5","155.778636","-10","279.74771"
"21","SRB","6.449120603","107.2962041","-2.1","39.306387","-10","315.91565"
"22","COL","6.644577223","233.9278979","-1.9","175.954545","-10","322.20836"
"23","KAZ","6.764859792","185.9428227","-1.8","150.301476","-9","244.09599"
"24","CUB","6.990936856","136.5620116","-1.777777778","150.545098","-9","-3.22699"
"25","AZE","7.099108454","167.6345298","-1.6","139.579105","-8","184.25389"
"26","GEO","7.22251861","92.46158491","-0.9","70.387294","-7","98.58038"
"27","MEX","7.397515528","306.4068323","-0.444444444","34.928349","-6","160.34091"
"28","MAS","7.559121344","107.5049586","-0.4","204.538062","-5","263.67132"
"29","ECU","7.606220141","76.25364813","-0.4","153.255797","-4","176.98629"
"30","VEN","7.678604817","142.2660836","-0.222222222","142.69071","-4","140.72762"
"31","VIE","7.716355763","252.8778318","-0.2","109.396429","-4","294.90068"
"32","BUL","7.865011038","438.895814","-0.1","231.882932","-4","126.59935"
"33","CRO","7.885015904","103.1872025","0","109.916468","-4","268.57042"
"34","NED","8.723329636","181.3360652","0.1","124.438336","-3","36.67444"
"35","ENG","8.750234584","143.1475871","0.285714286","160.171851","-3","142.87707"
"36","SVK","8.92958155","73.46754253","0.3","191.269783","-3","198.51305"
"37","BOL","8.947731092","192.5962209","0.4","196.242976",NA,NA
"38","ARG","9.596734802","187.9602437","0.5","152.05147","-2","160.5014"
"39","AUT","9.644416921","204.0791317","0.5","149.446373","-2","154.96108"
"40","PHI","9.733801475","216.6246106","0.6","141.06452","-1","180.69808"
"41","UZB","10.11765239","92.83162975","0.6","239.269229","0","279.49571"
"42","BLR","10.17608779","276.4653465","1.375","325.52436","0","77.80805"
"43","CHI","10.31642631","164.3624459","1.6","62.327383",NA,NA
"44","MGL","10.4595176","158.6192263","1.8","92.720255","0","244.4222"
"45","RSA","10.53897123","224.347619","1.8","147.454104","0","247.24426"
"46","AUS","10.62803334","171.1645032","1.9","163.111928","1","119.76959"
"47","SLO","10.87351832","108.9400286","2.1","115.875824","1","269.30614"
"48","LTU","11.66584675","264.4935414","2.1","182.602838","2","92.68092"
"49","ARM","11.67247821","335.5249214","2.1","107.391339","2","191.16375"
"50","ISR","11.69382716","166.6162154","2.3","206.446576","2","48.68736"
"51","BEL","11.70346459","146.902576","3","230.487863","3","231.33072"
"52","POR","11.71126056","156.2358756","3","116.305491","4","93.27965"
"53","KOR","11.89981517","126.4567353","3.1","153.061437","6","196.85541"
"54","INA","11.93647913","227.4405111","3.166666667","165.777468","6","125.38166"
"55","CAN","11.98673883","197.3054821","3.3","140.241077","7","96.54985"
"56","SWE","12.01669577","114.8279899","3.375","231.359849","7","211.39381"
"57","NOR","12.16069586","132.9660752","3.4","131.347191","7","52.21684"
"58","LAT","12.34656057","188.106596","3.5","479.852582","7","148.51635"
"59","MDA","12.60160154","50.91083822","3.6","332.511451","8","241.88047"
"60","UAE","12.62325512","152.6358093","3.9","157.958342",NA,NA
"61","SUI","12.68119847","112.5506089","4.1","169.849071","8","179.11227"
"62","CRC","13.15334251","173.3888138","4.111111111","186.078878","8","71.4655"
"63","EGY","13.41422171","123.4433449","4.6","160.498687","9","121.33677"
"64","ALG","13.4155854","89.95454545","4.7","115.308664","9","127.93845"
"65","BAN","13.41913342","169.9116501","4.7","85.673726","9","198.51126"
"66","BOT","13.86011286","359.4723854","4.9","177.426567",NA,NA
