metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
mean,FALSE,FALSE,1000,ARG,-57.87092895575234,105.83373899993856,-87.43249375992738,9.649421375085097,4.1000613865916393e-4
mean,FALSE,FALSE,1000,AUT,146.54654906784157,225.90613397344598,-42.0500965717045,12.050096571704493,0.001410227045731578
mean,FALSE,FALSE,1000,BAN,214.99333651022738,217.98324807452593,-1.5218965864127085,1.8271745691100563,5.236250334754453e-4
mean,FALSE,FALSE,1000,BEL,175.07513397453437,198.45551952817655,-12.24195031344324,6.7774413745066155,7.464964616859473e-4
mean,FALSE,FALSE,1000,BRA,162.83637585523132,192.60262285338362,-15.34890060470201,13.840203689097372,0.001408335142899661
mean,FALSE,FALSE,1000,BUL,-31.13734487911636,87.34631556445224,-63.34437751004015,5.578514056224897,2.578090329690746e-4
mean,FALSE,FALSE,1000,CHI,107.88663199398508,115.20098893906592,-3.6584586466165376,5.8929511278195434,3.657388143099247e-4
mean,FALSE,FALSE,1000,CHN,61.38630464198738,108.45123227223232,-25.247879973907345,0.3272450532724527,3.3392614156282306e-4
mean,FALSE,FALSE,1000,COL,82.59878792107033,178.53275894763325,-50.937161246612476,12.258468834688344,9.753907655416363e-4
mean,FALSE,FALSE,1000,CRO,102.24234373119188,175.20927561015003,-38.46114130434782,15.520652173913042,0.0010434532713032626
mean,FALSE,FALSE,1000,CUB,78.6818391949683,201.87755655496383,-65.59629440761518,11.685534591194966,0.0010192564719975407
mean,FALSE,FALSE,1000,CZE,57.94082237312333,112.50472588412379,-28.716648262081293,12.579192301624865,0.0022458656920104855
mean,FALSE,FALSE,1000,DEN,48.3672957383671,145.71602705593676,-51.69820613176779,12.222070015220702,4.611781813596284e-4
mean,FALSE,FALSE,1000,EGY,130.60198048914032,178.4878429395066,-24.924132730015074,17.158974358974362,3.524829024577657e-4
mean,FALSE,FALSE,1000,ENG,94.87416160724304,110.25364569492392,-7.920250626566414,7.374323308270675,6.867415548232935e-4
mean,FALSE,FALSE,1000,ESP,159.7938633715333,164.18476046672515,-1.9658213686369521,8.610846650799047,0.0036807462530540156
mean,FALSE,FALSE,1000,FRA,162.97635704525624,196.8831550301746,-17.90337873232518,6.530093163775021,0.005930967145043889
mean,FALSE,FALSE,1000,GEO,-167.15672727578234,-84.17053202644519,-44.24095238095239,6.672380952380948,2.1646571789152622e-4
mean,FALSE,FALSE,1000,GER,151.5796666721297,169.7299291318555,-9.46733750112223,6.056802525535048,0.0071454369321817144
mean,FALSE,FALSE,1000,GRE,134.85334974851583,128.64742969768034,3.7620141144841455,9.48831794395814,0.001281743808504364
mean,FALSE,FALSE,1000,HUN,31.155673883999146,74.93669812455427,-22.83207968569147,14.70873966841102,0.0013060901031159869
mean,FALSE,FALSE,1000,IND,-90.54870654326749,49.84942992941353,-75.00235580491103,7.888717252423312,0.0021149042210369708
mean,FALSE,FALSE,1000,IRI,142.60718746539658,140.55712236696235,1.4970521935148255,8.734141515111329,0.001929063939886279
mean,FALSE,FALSE,1000,ISR,6.429311280245963,125.10713828101085,-63.41050678644663,6.417293233082702,3.60788367185822e-4
mean,FALSE,FALSE,1000,ITA,149.41302437128758,212.04790311244747,-33.175871055464285,9.782323947651697,0.0011257567310205248
mean,FALSE,FALSE,1000,KAZ,12.074546748090336,88.00020607211592,-40.56247862273402,4.220157336677687,3.5076961265752537e-4
mean,FALSE,FALSE,1000,KOR,372.44169591811414,308.8241539471129,33.68641439205955,-10.154776674937967,2.2350541189328248e-4
mean,FALSE,FALSE,1000,LAT,4.844206416943203,-42.9818015912381,25.66808914177335,-0.06985933301722724,2.505885007889322e-4
mean,FALSE,FALSE,1000,LTU,27.88403296797814,53.02987406102484,-13.172279333569662,7.158454448777029,2.9777240091306335e-4
mean,FALSE,FALSE,1000,MEX,184.08197392941173,237.72028775302493,-28.218099547511308,12.617194570135748,8.919937130046554e-4
mean,FALSE,FALSE,1000,NED,133.59738968694987,152.53895721625136,-9.716386791879145,9.925537090286767,0.001336809752439628
mean,FALSE,FALSE,1000,NOR,63.1755906813721,179.9159655832661,-62.18176618622741,10.57431556470678,4.637270619190078e-4
mean,FALSE,FALSE,1000,PHI,178.3218866546005,194.93169963499784,-8.240824534942178,14.85708898944193,3.3230264789244307e-4
