juniors,inactives,floor,K,raw_pval,pval
FALSE,FALSE,1000,1,0.019067530710669356,0.03813506142133871
FALSE,FALSE,1400,1,0.032994043544516516,0.06598808708903303
FALSE,FALSE,1600,1,0.040178501031195135,0.08035700206239027
FALSE,TRUE,1000,1,0.010719844195656747,0.021439688391313494
FALSE,TRUE,1400,1,0.01491759458947206,0.02983518917894412
FALSE,TRUE,1600,1,0.01941109540120267,0.03882219080240534
TRUE,FALSE,1000,1,2.417064942978886e-4,4.834129885957772e-4
TRUE,FALSE,1400,1,0.0039966794792426485,0.007993358958485297
TRUE,FALSE,1600,1,0.00938231334176387,0.01876462668352774
TRUE,TRUE,1000,1,8.603270880011005e-4,0.001720654176002201
TRUE,TRUE,1400,1,0.004830727418890457,0.009661454837780914
TRUE,TRUE,1600,1,0.00957750225698184,0.01915500451396368
FALSE,FALSE,1000,10,1.7243504538688725e-6,3.448700907737745e-6
FALSE,FALSE,1400,10,3.985080009893949e-5,7.970160019787897e-5
FALSE,FALSE,1600,10,1.1676983638309046e-4,2.3353967276618093e-4
FALSE,TRUE,1000,10,4.1249637039442177e-10,8.249927407888435e-10
FALSE,TRUE,1400,10,4.8178372402674086e-9,9.635674480534817e-9
FALSE,TRUE,1600,10,3.2834774676970824e-8,6.566954935394165e-8
TRUE,FALSE,1000,10,0,0
TRUE,FALSE,1400,10,3.508626722492636e-11,7.017253444985272e-11
TRUE,FALSE,1600,10,9.623858265861429e-9,1.9247716531722858e-8
TRUE,TRUE,1000,10,0,0
TRUE,TRUE,1400,10,7.558398351648066e-13,1.5116796703296131e-12
TRUE,TRUE,1600,10,1.48963841262173e-10,2.97927682524346e-10
