juniors,inactives,floor,fed,K,raw_pval,pval,adj_pval
FALSE,FALSE,1000,ARG,1,0.22421757706451484,0.4484351541290297,0.5575139754036585
FALSE,FALSE,1000,ARG,10,0.880925879424879,0.23814824115024202,0.40816918637213057
FALSE,FALSE,1000,AUT,1,0.0998014992072086,0.1996029984144172,0.35267398956673995
FALSE,FALSE,1000,AUT,10,0.1118219705015071,0.2236439410030142,0.40816918637213057
FALSE,FALSE,1000,BAN,1,0.10387478372532499,0.20774956745064999,0.35267398956673995
FALSE,FALSE,1000,BAN,10,7.520353229669707e-4,0.0015040706459339415,0.008648406214120163
FALSE,FALSE,1000,BEL,1,0.21290308003696456,0.42580616007392913,0.5575139754036585
FALSE,FALSE,1000,BEL,10,0.010225156048424777,0.020450312096849554,0.06719388260393425
FALSE,FALSE,1000,BRA,1,0.017920731207005436,0.03584146241401087,0.10991381806963335
FALSE,FALSE,1000,BRA,10,3.1867057063039717e-5,6.373411412607943e-5,9.772564165998847e-4
FALSE,FALSE,1000,BUL,1,0.38074913950350175,0.7614982790070035,0.8543639227883455
FALSE,FALSE,1000,BUL,10,0.44940260361152895,0.8988052072230579,0.9045373922260265
FALSE,FALSE,1000,CHI,1,0.0018475706354978971,0.0036951412709957943,0.030769674032723682
FALSE,FALSE,1000,CHI,10,0.10853809127180314,0.21707618254360628,0.40816918637213057
FALSE,FALSE,1000,CHN,1,0.05343072385049952,0.10686144770099903,0.25284909115036053
FALSE,FALSE,1000,CHN,10,0.0015215902969458739,0.0030431805938917478,0.015554034146557821
FALSE,FALSE,1000,COL,1,0.005047096981951937,0.010094193963903875,0.04221208384905256
FALSE,FALSE,1000,COL,10,0.06487088683869024,0.1297417736773805,0.2841962661504525
FALSE,FALSE,1000,CRO,1,0.008463080969074666,0.01692616193814933,0.06488362076290577
FALSE,FALSE,1000,CRO,10,0.14757809946463218,0.29515619892926437,0.4525728383582054
FALSE,FALSE,1000,CUB,1,0.0029407806496347666,0.005881561299269533,0.03865025996662836
FALSE,FALSE,1000,CUB,10,0.0019913668506627014,0.003982733701325403,0.018320575026096853
FALSE,FALSE,1000,CZE,1,0.010452578727870976,0.02090515745574195,0.07397209561262537
FALSE,FALSE,1000,CZE,10,0.3164659572461982,0.6329319144923964,0.7195298786525015
FALSE,FALSE,1000,DEN,1,0.11856590208427831,0.23713180416855661,0.35267398956673995
FALSE,FALSE,1000,DEN,10,0.7940118698457868,0.4119762603084265,0.574269938611746
FALSE,FALSE,1000,EGY,1,0.11602227109844598,0.23204454219689197,0.35267398956673995
FALSE,FALSE,1000,EGY,10,0.0033446713598468403,0.0066893427196936806,0.027973615009628118
FALSE,FALSE,1000,ENG,1,0.2864165743331548,0.5728331486663096,0.6587581209662561
FALSE,FALSE,1000,ENG,10,0.12606156761358966,0.25212313522717933,0.4142022935875089
FALSE,FALSE,1000,ESP,1,0.11459840652909647,0.22919681305819295,0.35267398956673995
FALSE,FALSE,1000,ESP,10,0.015281753340558701,0.030563506681117403,0.08270125337243533
FALSE,FALSE,1000,FRA,1,0.05496719372833925,0.1099343874566785,0.25284909115036053
FALSE,FALSE,1000,FRA,10,0.006171361477792736,0.012342722955585472,0.04731377132974431
FALSE,FALSE,1000,GEO,1,0.040618814350130816,0.08123762870026163,0.2198194658948256
FALSE,FALSE,1000,GEO,10,0.3034956337947545,0.606991267589509,0.7159384181824979
FALSE,FALSE,1000,GER,1,0.04932041668734355,0.0986408333746871,0.25208212973531147
