juniors,inactives,floor,metric,fed,stat,value
FALSE,FALSE,1000,mean,ALL,obs,-101.03398013860055
FALSE,FALSE,1000,mean,ALL,ptpval,1
FALSE,FALSE,1000,mean,ALL,ptmean,0.0020703980506504714
FALSE,FALSE,1000,mean,ALL,ptsd,4.253583839264335
FALSE,FALSE,1000,median,ALL,obs,-106
FALSE,FALSE,1000,median,ALL,ptpval,1
FALSE,FALSE,1000,median,ALL,ptmean,0.009905500000000057
FALSE,FALSE,1000,median,ALL,ptsd,5.659597791549933
FALSE,FALSE,1000,sd,ALL,obs,32.73664841790526
FALSE,FALSE,1000,sd,ALL,ptpval,0
FALSE,FALSE,1000,sd,ALL,ptmean,-0.006909603510839615
FALSE,FALSE,1000,sd,ALL,ptsd,2.663751774851839
FALSE,FALSE,1000,top1,ALL,obs,-208
FALSE,FALSE,1000,top1,ALL,ptpval,0.981144
FALSE,FALSE,1000,top1,ALL,ptmean,-116.431855
FALSE,FALSE,1000,top1,ALL,ptsd,54.75575458754666
FALSE,FALSE,1000,top10,ALL,obs,-229.0999999999999
FALSE,FALSE,1000,top10,ALL,ptpval,1
FALSE,FALSE,1000,top10,ALL,ptmean,-127.83953840000002
FALSE,FALSE,1000,top10,ALL,ptsd,23.895478307177875
FALSE,FALSE,1400,mean,ALL,obs,-26.798928762475725
FALSE,FALSE,1400,mean,ALL,ptpval,1
FALSE,FALSE,1400,mean,ALL,ptmean,-0.005689881309154479
FALSE,FALSE,1400,mean,ALL,ptsd,3.9815704759931165
FALSE,FALSE,1400,median,ALL,obs,-32
FALSE,FALSE,1400,median,ALL,ptpval,1
FALSE,FALSE,1400,median,ALL,ptmean,0.04788000000000001
FALSE,FALSE,1400,median,ALL,ptsd,5.718617158735335
FALSE,FALSE,1400,sd,ALL,obs,0.5161269487719267
FALSE,FALSE,1400,sd,ALL,ptpval,0.417915
FALSE,FALSE,1400,sd,ALL,ptmean,-0.010893200177191115
FALSE,FALSE,1400,sd,ALL,ptsd,2.5388669498266356
FALSE,FALSE,1400,top1,ALL,obs,-208
FALSE,FALSE,1400,top1,ALL,ptpval,0.966857
FALSE,FALSE,1400,top1,ALL,ptmean,-123.037056
FALSE,FALSE,1400,top1,ALL,ptsd,55.382017153771955
FALSE,FALSE,1400,top10,ALL,obs,-229.0999999999999
FALSE,FALSE,1400,top10,ALL,ptpval,0.999985
FALSE,FALSE,1400,top10,ALL,ptmean,-136.12630130000002
FALSE,FALSE,1400,top10,ALL,ptsd,24.167719409788734
FALSE,FALSE,1600,mean,ALL,obs,-7.776621152403777
FALSE,FALSE,1600,mean,ALL,ptpval,0.978989
FALSE,FALSE,1600,mean,ALL,ptmean,0.006574134769809258
FALSE,FALSE,1600,mean,ALL,ptsd,3.830991051985195
FALSE,FALSE,1600,median,ALL,obs,-8
FALSE,FALSE,1600,median,ALL,ptpval,0.909925
FALSE,FALSE,1600,median,ALL,ptmean,-0.04837849999999999
FALSE,FALSE,1600,median,ALL,ptsd,5.476895541008841
FALSE,FALSE,1600,sd,ALL,obs,-5.98220516263774
FALSE,FALSE,1600,sd,ALL,ptpval,0.986962
FALSE,FALSE,1600,sd,ALL,ptmean,-0.01728354758518283
FALSE,FALSE,1600,sd,ALL,ptsd,2.692703457524642
FALSE,FALSE,1600,top1,ALL,obs,-208
FALSE,FALSE,1600,top1,ALL,ptpval,0.959583
FALSE,FALSE,1600,top1,ALL,ptmean,-125.633574
FALSE,FALSE,1600,top1,ALL,ptsd,55.65064701313936
FALSE,FALSE,1600,top10,ALL,obs,-229.0999999999999
FALSE,FALSE,1600,top10,ALL,ptpval,0.999924
FALSE,FALSE,1600,top10,ALL,ptmean,-139.55194300000002
FALSE,FALSE,1600,top10,ALL,ptsd,24.391572795405665
FALSE,TRUE,1000,mean,ALL,obs,-79.22430959848293
FALSE,TRUE,1000,mean,ALL,ptpval,1
FALSE,TRUE,1000,mean,ALL,ptmean,9.438885969766403e-4
FALSE,TRUE,1000,mean,ALL,ptsd,2.389641230751313
FALSE,TRUE,1000,median,ALL,obs,-83
FALSE,TRUE,1000,median,ALL,ptpval,1
FALSE,TRUE,1000,median,ALL,ptmean,0.09108449999999998
FALSE,TRUE,1000,median,ALL,ptsd,3.4839099445146715
FALSE,TRUE,1000,sd,ALL,obs,5.000495578804873
FALSE,TRUE,1000,sd,ALL,ptpval,2.98e-4
FALSE,TRUE,1000,sd,ALL,ptmean,-0.0037351522262803576
FALSE,TRUE,1000,sd,ALL,ptsd,1.463990471256076
FALSE,TRUE,1000,top1,ALL,obs,-197
FALSE,TRUE,1000,top1,ALL,ptpval,0.989255
FALSE,TRUE,1000,top1,ALL,ptmean,-97.738406
FALSE,TRUE,1000,top1,ALL,ptsd,53.910688039955986
FALSE,TRUE,1000,top10,ALL,obs,-208.69999999999982
FALSE,TRUE,1000,top10,ALL,ptpval,1
FALSE,TRUE,1000,top10,ALL,ptmean,-110.56162779999991
FALSE,TRUE,1000,top10,ALL,ptsd,23.047221282156194
FALSE,TRUE,1400,mean,ALL,obs,-45.01928695133506
FALSE,TRUE,1400,mean,ALL,ptpval,1
FALSE,TRUE,1400,mean,ALL,ptmean,0.0027790265638945144
FALSE,TRUE,1400,mean,ALL,ptsd,2.1261015017675846
FALSE,TRUE,1400,median,ALL,obs,-50
FALSE,TRUE,1400,median,ALL,ptpval,1
FALSE,TRUE,1400,median,ALL,ptmean,-0.187914
FALSE,TRUE,1400,median,ALL,ptsd,3.1195746601660397
FALSE,TRUE,1400,sd,ALL,obs,-12.492294285584137
FALSE,TRUE,1400,sd,ALL,ptpval,1
FALSE,TRUE,1400,sd,ALL,ptmean,-0.002427023876034413
FALSE,TRUE,1400,sd,ALL,ptsd,1.2605166315876681
FALSE,TRUE,1400,top1,ALL,obs,-197
FALSE,TRUE,1400,top1,ALL,ptpval,0.985034
FALSE,TRUE,1400,top1,ALL,ptmean,-100.891137
FALSE,TRUE,1400,top1,ALL,ptsd,54.09856266576516
FALSE,TRUE,1400,top10,ALL,obs,-208.69999999999982
FALSE,TRUE,1400,top10,ALL,ptpval,0.999999
FALSE,TRUE,1400,top10,ALL,ptmean,-114.61169859999991
FALSE,TRUE,1400,top10,ALL,ptsd,23.16844237059275
FALSE,TRUE,1600,mean,ALL,obs,-29.019465467907594
FALSE,TRUE,1600,mean,ALL,ptpval,1
FALSE,TRUE,1600,mean,ALL,ptmean,-8.605736758994409e-5
FALSE,TRUE,1600,mean,ALL,ptsd,2.005227960834854
FALSE,TRUE,1600,median,ALL,obs,-24
FALSE,TRUE,1600,median,ALL,ptpval,1
FALSE,TRUE,1600,median,ALL,ptmean,-0.18752299999999997
FALSE,TRUE,1600,median,ALL,ptsd,2.9991976626520667
FALSE,TRUE,1600,sd,ALL,obs,-18.384449432419245
FALSE,TRUE,1600,sd,ALL,ptpval,1
FALSE,TRUE,1600,sd,ALL,ptmean,-0.0028837312420893373
FALSE,TRUE,1600,sd,ALL,ptsd,1.2926546337948108
FALSE,TRUE,1600,top1,ALL,obs,-197
FALSE,TRUE,1600,top1,ALL,ptpval,0.980398
FALSE,TRUE,1600,top1,ALL,ptmean,-103.551368
FALSE,TRUE,1600,top1,ALL,ptsd,54.36573348131666
FALSE,TRUE,1600,top10,ALL,obs,-208.69999999999982
FALSE,TRUE,1600,top10,ALL,ptpval,0.999997
FALSE,TRUE,1600,top10,ALL,ptmean,-117.86408609999991
FALSE,TRUE,1600,top10,ALL,ptsd,23.185626447759784
TRUE,FALSE,1000,mean,ALL,obs,-206.72151122502032
TRUE,FALSE,1000,mean,ALL,ptpval,1
TRUE,FALSE,1000,mean,ALL,ptmean,-0.0016824201338448233
TRUE,FALSE,1000,mean,ALL,ptsd,2.832123376013137
