juniors,inactives,floor,metric,fed,stat,value
FALSE,FALSE,1000,mean,ARG,obs,57.900158838212064
FALSE,FALSE,1000,mean,ARG,ptpval,0.120823
FALSE,FALSE,1000,mean,ARG,ptmean,-0.07184560018152965
FALSE,FALSE,1000,mean,ARG,ptsd,49.36710487461261
FALSE,FALSE,1000,mean,AUT,obs,-146.53573153066145
FALSE,FALSE,1000,mean,AUT,ptpval,1
FALSE,FALSE,1000,mean,AUT,ptmean,-0.02687195956059867
FALSE,FALSE,1000,mean,AUT,ptsd,26.62203328564862
FALSE,FALSE,1000,mean,BAN,obs,-214.95466434176114
FALSE,FALSE,1000,mean,BAN,ptpval,1
FALSE,FALSE,1000,mean,BAN,ptmean,-0.006651317282543095
FALSE,FALSE,1000,mean,BAN,ptsd,43.74918411093045
FALSE,FALSE,1000,mean,BEL,obs,-175.02423032273032
FALSE,FALSE,1000,mean,BEL,ptpval,1
FALSE,FALSE,1000,mean,BEL,ptmean,-0.017234718551195946
FALSE,FALSE,1000,mean,BEL,ptsd,36.613852425731245
FALSE,FALSE,1000,mean,BRA,obs,-162.84444490569695
FALSE,FALSE,1000,mean,BRA,ptpval,1
FALSE,FALSE,1000,mean,BRA,ptmean,-0.03108149258997876
FALSE,FALSE,1000,mean,BRA,ptsd,26.610919584047295
FALSE,FALSE,1000,mean,BUL,obs,31.06385542168664
FALSE,FALSE,1000,mean,BUL,ptpval,0.30986
FALSE,FALSE,1000,mean,BUL,ptmean,0.0175510347389552
FALSE,FALSE,1000,mean,BUL,ptsd,62.26031737176856
FALSE,FALSE,1000,mean,CHI,obs,-107.92922932330839
FALSE,FALSE,1000,mean,CHI,ptpval,0.980857
FALSE,FALSE,1000,mean,CHI,ptmean,-0.0742002052161654
FALSE,FALSE,1000,mean,CHI,ptsd,52.302030471958425
FALSE,FALSE,1000,mean,CHN,obs,-61.3755164166123
FALSE,FALSE,1000,mean,CHN,ptpval,0.86833
FALSE,FALSE,1000,mean,CHN,ptmean,-0.028125402370080765
FALSE,FALSE,1000,mean,CHN,ptsd,54.68060494613941
FALSE,FALSE,1000,mean,COL,obs,-82.5818089430893
FALSE,FALSE,1000,mean,COL,ptpval,0.995002
FALSE,FALSE,1000,mean,COL,ptmean,0.031031711551490627
FALSE,FALSE,1000,mean,COL,ptsd,32.018732669072484
FALSE,FALSE,1000,mean,CRO,obs,-102.34904891304359
FALSE,FALSE,1000,mean,CRO,ptpval,0.999611
FALSE,FALSE,1000,mean,CRO,ptmean,0.015460491828416502
FALSE,FALSE,1000,mean,CRO,ptsd,30.92625310784082
FALSE,FALSE,1000,mean,CUB,obs,-78.69101648818605
FALSE,FALSE,1000,mean,CUB,ptpval,0.994308
FALSE,FALSE,1000,mean,CUB,ptmean,0.07464336613972479
FALSE,FALSE,1000,mean,CUB,ptsd,31.29236233172196
FALSE,FALSE,1000,mean,CZE,obs,-57.934302203291736
FALSE,FALSE,1000,mean,CZE,ptpval,0.996863
FALSE,FALSE,1000,mean,CZE,ptmean,0.013114988891518081
FALSE,FALSE,1000,mean,CZE,ptsd,21.08794094724962
FALSE,FALSE,1000,mean,DEN,obs,-48.27685366384003
FALSE,FALSE,1000,mean,DEN,ptpval,0.849975
FALSE,FALSE,1000,mean,DEN,ptmean,0.08674904036747141
FALSE,FALSE,1000,mean,DEN,ptsd,46.609785128297744
FALSE,FALSE,1000,mean,EGY,obs,-130.5668174962293
FALSE,FALSE,1000,mean,EGY,ptpval,0.992825
FALSE,FALSE,1000,mean,EGY,ptmean,-0.004747918853695208
FALSE,FALSE,1000,mean,EGY,ptsd,53.2555414797601
FALSE,FALSE,1000,mean,ENG,obs,-94.93298245614028
FALSE,FALSE,1000,mean,ENG,ptpval,0.993573
FALSE,FALSE,1000,mean,ENG,ptmean,0.041171892581453644
FALSE,FALSE,1000,mean,ENG,ptsd,38.08347849279714
FALSE,FALSE,1000,mean,ESP,obs,-159.75941253249403
FALSE,FALSE,1000,mean,ESP,ptpval,1
FALSE,FALSE,1000,mean,ESP,ptmean,-0.007255219012624465
FALSE,FALSE,1000,mean,ESP,ptsd,16.49541458276383
FALSE,FALSE,1000,mean,FRA,obs,-162.9756688270952
FALSE,FALSE,1000,mean,FRA,ptpval,1
FALSE,FALSE,1000,mean,FRA,ptmean,-0.006918451800903855
FALSE,FALSE,1000,mean,FRA,ptsd,12.977824912806586
FALSE,FALSE,1000,mean,GEO,obs,167.2062585034014
FALSE,FALSE,1000,mean,GEO,ptpval,0.006508
FALSE,FALSE,1000,mean,GEO,ptmean,0.008055810068027292
FALSE,FALSE,1000,mean,GEO,ptsd,68.0543699296726
FALSE,FALSE,1000,mean,GER,obs,-151.59503128431425
FALSE,FALSE,1000,mean,GER,ptpval,1
FALSE,FALSE,1000,mean,GER,ptmean,0.01645201296952384
FALSE,FALSE,1000,mean,GER,ptsd,11.848758231416001
FALSE,FALSE,1000,mean,GRE,obs,-134.83070620429203
FALSE,FALSE,1000,mean,GRE,ptpval,1
FALSE,FALSE,1000,mean,GRE,ptmean,0.050336182048040454
FALSE,FALSE,1000,mean,GRE,ptsd,27.95658599624707
FALSE,FALSE,1000,mean,HUN,obs,-31.176540975856142
FALSE,FALSE,1000,mean,HUN,ptpval,0.87005
FALSE,FALSE,1000,mean,HUN,ptmean,-0.012121477269689108
FALSE,FALSE,1000,mean,HUN,ptsd,27.666867640270343
FALSE,FALSE,1000,mean,IND,obs,90.56587850278447
FALSE,FALSE,1000,mean,IND,ptpval,3.6e-5
FALSE,FALSE,1000,mean,IND,ptmean,0.01022295032414757
FALSE,FALSE,1000,mean,IND,ptsd,21.759349504616747
FALSE,FALSE,1000,mean,IRI,obs,-142.59213680270113
FALSE,FALSE,1000,mean,IRI,ptpval,1
FALSE,FALSE,1000,mean,IRI,ptmean,0.03840052815716201
FALSE,FALSE,1000,mean,IRI,ptsd,22.790531995111937
FALSE,FALSE,1000,mean,ISR,obs,-6.363489893564974
FALSE,FALSE,1000,mean,ISR,ptpval,0.548509
FALSE,FALSE,1000,mean,ISR,ptmean,0.04121612576896801
FALSE,FALSE,1000,mean,ISR,ptsd,52.591828766337336
FALSE,FALSE,1000,mean,ITA,obs,-149.47172964704532
FALSE,FALSE,1000,mean,ITA,ptpval,1
FALSE,FALSE,1000,mean,ITA,ptmean,-0.01113003295847256
FALSE,FALSE,1000,mean,ITA,ptsd,29.8396391325041
FALSE,FALSE,1000,mean,KAZ,obs,-11.955022232356669
FALSE,FALSE,1000,mean,KAZ,ptpval,0.586184
FALSE,FALSE,1000,mean,KAZ,ptmean,0.007386781552844607
FALSE,FALSE,1000,mean,KAZ,ptsd,53.43163039802925
FALSE,FALSE,1000,mean,KOR,obs,-372.53194789081886
FALSE,FALSE,1000,mean,KOR,ptpval,1
FALSE,FALSE,1000,mean,KOR,ptmean,-0.060626842431761516
FALSE,FALSE,1000,mean,KOR,ptsd,66.93010604663611
FALSE,FALSE,1000,mean,LAT,obs,-4.738264580369787
FALSE,FALSE,1000,mean,LAT,ptpval,0.530774
FALSE,FALSE,1000,mean,LAT,ptmean,-0.03188474284811164
FALSE,FALSE,1000,mean,LAT,ptsd,63.08687825236394
FALSE,FALSE,1000,mean,LTU,obs,-27.8323289613611
FALSE,FALSE,1000,mean,LTU,ptpval,0.683502
FALSE,FALSE,1000,mean,LTU,ptmean,-0.02012170436015532
FALSE,FALSE,1000,mean,LTU,ptsd,57.930451868076574
FALSE,FALSE,1000,mean,MEX,obs,-184.14524886877825
FALSE,FALSE,1000,mean,MEX,ptpval,1
FALSE,FALSE,1000,mean,MEX,ptmean,0.0019293018099544382
FALSE,FALSE,1000,mean,MEX,ptsd,33.50037223927216
FALSE,FALSE,1000,mean,NED,obs,-133.56289146997233
FALSE,FALSE,1000,mean,NED,ptpval,0.999998
FALSE,FALSE,1000,mean,NED,ptmean,-0.013427775156153414
FALSE,FALSE,1000,mean,NED,ptsd,27.401936449247465
FALSE,FALSE,1000,mean,NOR,obs,-63.11916927222342
FALSE,FALSE,1000,mean,NOR,ptpval,0.914071
FALSE,FALSE,1000,mean,NOR,ptmean,-0.09010731059508396
FALSE,FALSE,1000,mean,NOR,ptsd,46.44668712259597
FALSE,FALSE,1000,mean,PHI,obs,-178.32616892911028
FALSE,FALSE,1000,mean,PHI,ptpval,0.999404
FALSE,FALSE,1000,mean,PHI,ptmean,0.10204931121166412
FALSE,FALSE,1000,mean,PHI,ptsd,54.912853013479605
FALSE,FALSE,1000,mean,POL,obs,-46.015441442470774
FALSE,FALSE,1000,mean,POL,ptpval,0.975081
FALSE,FALSE,1000,mean,POL,ptmean,-0.018534438158935455
FALSE,FALSE,1000,mean,POL,ptsd,23.524652458205694
FALSE,FALSE,1000,mean,ROU,obs,107.34104168703766
FALSE,FALSE,1000,mean,ROU,ptpval,0.006669
FALSE,FALSE,1000,mean,ROU,ptmean,-0.04959281079495444
FALSE,FALSE,1000,mean,ROU,ptsd,43.18711176889367
