juniors,inactives,floor,fed,metric,value
FALSE,FALSE,1400,ALL,top1_obs,208
FALSE,FALSE,1400,ALL,top1_ptmean,122.980994
FALSE,FALSE,1400,ALL,top1_ptsd,55.34829365
FALSE,FALSE,1400,ALL,top1_ptpval,0.033047
FALSE,FALSE,1400,ALL,agedifftop1,4
FALSE,FALSE,1400,ALL,top10_obs,229.1
FALSE,FALSE,1400,ALL,top10_ptmean,136.247947
FALSE,FALSE,1400,ALL,top10_ptsd,24.21818948
FALSE,FALSE,1400,ALL,top10_ptpval,1.7e-5
FALSE,FALSE,1400,ALL,agedifftop10,1.7
FALSE,FALSE,1400,ALL,mean_obs,26.83129
FALSE,FALSE,1400,ALL,mean_ptmean,-0.003938226
FALSE,FALSE,1400,ALL,mean_ptsd,3.976440536
FALSE,FALSE,1400,ALL,mean_ptpval,0
FALSE,FALSE,1400,ALL,sd_obs,-0.5140446
FALSE,FALSE,1400,ALL,sd_ptmean,0.014264369
FALSE,FALSE,1400,ALL,sd_ptsd,2.537658298
FALSE,FALSE,1400,ALL,sd_ptpval,0.582559
FALSE,FALSE,1400,ALL,median_obs,32
FALSE,FALSE,1400,ALL,median_ptmean,-0.04718
FALSE,FALSE,1400,ALL,median_ptsd,5.716310215
FALSE,FALSE,1400,ALL,median_ptpval,0
FALSE,FALSE,1400,ALL,agediffoverall,12.0322836
FALSE,FALSE,1400,ALL,knapp1,0.03150557
FALSE,FALSE,1400,ALL,knapp10,3.29e-5
FALSE,FALSE,1400,ALL,knapp30,5.04e-7
FALSE,FALSE,1400,ALL,perf,4.4
FALSE,FALSE,1400,GER,top1_obs,193
FALSE,FALSE,1400,GER,top1_ptmean,92.83374
FALSE,FALSE,1400,GER,top1_ptsd,60.18758609
FALSE,FALSE,1400,GER,top1_ptpval,0.060658
FALSE,FALSE,1400,GER,agedifftop1,9
FALSE,FALSE,1400,GER,top10_obs,288.7
FALSE,FALSE,1400,GER,top10_ptmean,183.543838
FALSE,FALSE,1400,GER,top10_ptsd,33.14969793
FALSE,FALSE,1400,GER,top10_ptpval,3.04e-4
FALSE,FALSE,1400,GER,agedifftop10,-7
FALSE,FALSE,1400,GER,mean_obs,116.787822
FALSE,FALSE,1400,GER,mean_ptmean,-0.006965181
FALSE,FALSE,1400,GER,mean_ptsd,11.4275541
FALSE,FALSE,1400,GER,mean_ptpval,0
FALSE,FALSE,1400,GER,sd_obs,12.1544441
FALSE,FALSE,1400,GER,sd_ptmean,0.084977252
FALSE,FALSE,1400,GER,sd_ptsd,6.926057218
FALSE,FALSE,1400,GER,sd_ptpval,0.040479
FALSE,FALSE,1400,GER,median_obs,128
FALSE,FALSE,1400,GER,median_ptmean,0.701663
FALSE,FALSE,1400,GER,median_ptsd,16.42230107
FALSE,FALSE,1400,GER,median_ptpval,0
FALSE,FALSE,1400,GER,agediffoverall,7.159301
FALSE,FALSE,1400,GER,knapp1,0.06084475
FALSE,FALSE,1400,GER,knapp10,4.25568e-4
FALSE,FALSE,1400,GER,knapp30,1.19e-12
FALSE,FALSE,1400,GER,perf,4.7
FALSE,FALSE,1400,RUS,top1_obs,205
FALSE,FALSE,1400,RUS,top1_ptmean,59.114742
FALSE,FALSE,1400,RUS,top1_ptsd,48.10636613
FALSE,FALSE,1400,RUS,top1_ptpval,0.002568
FALSE,FALSE,1400,RUS,agedifftop1,15
FALSE,FALSE,1400,RUS,top10_obs,258.2
FALSE,FALSE,1400,RUS,top10_ptmean,141.195622
FALSE,FALSE,1400,RUS,top10_ptsd,36.56126776
FALSE,FALSE,1400,RUS,top10_ptpval,9.64e-4
FALSE,FALSE,1400,RUS,agedifftop10,-0.6
FALSE,FALSE,1400,RUS,mean_obs,44.624449
FALSE,FALSE,1400,RUS,mean_ptmean,-0.01641588
FALSE,FALSE,1400,RUS,mean_ptsd,15.04751428
FALSE,FALSE,1400,RUS,mean_ptpval,0.001414
FALSE,FALSE,1400,RUS,sd_obs,13.0139873
FALSE,FALSE,1400,RUS,sd_ptmean,0.144255545
FALSE,FALSE,1400,RUS,sd_ptsd,9.440738593
FALSE,FALSE,1400,RUS,sd_ptpval,0.086514
FALSE,FALSE,1400,RUS,median_obs,30
FALSE,FALSE,1400,RUS,median_ptmean,0.737087
FALSE,FALSE,1400,RUS,median_ptsd,20.07386444
FALSE,FALSE,1400,RUS,median_ptpval,0.075456
FALSE,FALSE,1400,RUS,agediffoverall,10.8230018
FALSE,FALSE,1400,RUS,knapp1,0.002464734
FALSE,FALSE,1400,RUS,knapp10,0.001552508
FALSE,FALSE,1400,RUS,knapp30,0.004723929
FALSE,FALSE,1400,RUS,perf,9.9
FALSE,FALSE,1400,FRA,top1_obs,337
FALSE,FALSE,1400,FRA,top1_ptmean,230.989628
FALSE,FALSE,1400,FRA,top1_ptsd,105.4620722
FALSE,FALSE,1400,FRA,top1_ptpval,0.114755
FALSE,FALSE,1400,FRA,agedifftop1,-4
FALSE,FALSE,1400,FRA,top10_obs,328.2
FALSE,FALSE,1400,FRA,top10_ptmean,264.602698
FALSE,FALSE,1400,FRA,top10_ptsd,47.31826059
FALSE,FALSE,1400,FRA,top10_ptpval,0.083642
FALSE,FALSE,1400,FRA,agedifftop10,-3.5
FALSE,FALSE,1400,FRA,mean_obs,60.208038
FALSE,FALSE,1400,FRA,mean_ptmean,-0.008410592
FALSE,FALSE,1400,FRA,mean_ptsd,13.48907183
FALSE,FALSE,1400,FRA,mean_ptpval,3e-6
FALSE,FALSE,1400,FRA,sd_obs,13.5254323
FALSE,FALSE,1400,FRA,sd_ptmean,0.149208801
FALSE,FALSE,1400,FRA,sd_ptsd,9.332767873
FALSE,FALSE,1400,FRA,sd_ptpval,0.075381
FALSE,FALSE,1400,FRA,median_obs,59
FALSE,FALSE,1400,FRA,median_ptmean,0.465763
FALSE,FALSE,1400,FRA,median_ptsd,18.99579274
