FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,208,122.980994,55.34829365,0.033047,4,229.1,136.247947,24.21818948,1.70E-05,1.7,26.83129,-0.003938226,3.976440536,0,-0.5140446,0.014264369,2.537658298,0.582559,32,-0.04718,5.716310215,0,12.0322836,0.03150557,3.29E-05,5.04E-07,4.4
GER,193,92.83374,60.18758609,0.060658,9,288.7,183.543838,33.14969793,0.000304,-7,116.787822,-0.006965181,11.4275541,0,12.1544441,0.084977252,6.926057218,0.040479,128,0.701663,16.42230107,0,7.159301,0.06084475,0.000425568,1.19E-12,4.7
RUS,205,59.114742,48.10636613,0.002568,15,258.2,141.195622,36.56126776,0.000964,-0.6,44.624449,-0.01641588,15.04751428,0.001414,13.0139873,0.144255545,9.440738593,0.086514,30,0.737087,20.07386444,0.075456,10.8230018,0.002464734,0.001552508,0.004723929,9.9
FRA,337,230.989628,105.4620722,0.114755,-4,328.2,264.602698,47.31826059,0.083642,-3.5,60.208038,-0.008410592,13.48907183,3.00E-06,13.5254323,0.149208801,9.332767873,0.075381,59,0.465763,18.99579274,0.000619,12.7242012,0.1100164,0.07982247,0.000306222,4.3
ESP,299,225.783362,89.22207835,0.205604,1,376.2,315.009535,46.28843196,0.090007,-3.6,19.330857,-0.014725818,17.05346971,0.128149,12.5581648,0.222479486,11.11182447,0.133002,-9,-0.5465645,24.07115194,0.643184,12.0411766,0.2023764,0.1528078,0.1968881,1.9
POL,348,157.937226,86.51707247,0.006153,-11,309.4,213.266595,50.87160628,0.03096,3.1,15.721998,-0.003102479,21.80613356,0.236158,39.3632595,0.30334894,14.07614798,0.00255,-7,0.404378,30.09002316,0.616838,10.956758,0.005627077,0.05139964,0.03666637,7.9
CZE,419,228.893763,102.6049422,0.014221,1,384.8,315.826576,47.98472516,0.068506,5.8,21.936116,0.01281615,19.96327875,0.135927,-4.2885901,0.396730809,13.46475704,0.639351,19,0.359489,25.14738608,0.23164,13.8387608,0.0141148,0.3944779,0.3943292,3.1
HUN,333,214.245985,104.6239047,0.128159,-16,332.7,300.243616,51.65208028,0.269136,-6.5,8.159988,0.025476867,25.47831726,0.376277,-1.7811881,0.489939435,16.2126328,0.557933,15,-0.900044,34.65561883,0.348631,15.3487104,0.1276182,0.4722471,0.5426969,4
IND,183,178.607224,101.2607239,0.493121,18,264.9,328.916495,71.48039239,0.81285,1.2,-179.127855,-0.004934758,30.00477943,1,-6.111917,0.909517061,24.41887078,0.607092,-235,-1.852783,34.98342865,1,8.3932127,0.491627,0.9615296,0.9998835,4.9
GRE,401,138.625301,104.0664098,0.006099,-4,442.8,289.259455,55.75156844,0.001006,1.3,87.956728,0.045779768,26.68798727,0.000389,55.152465,0.524728341,17.18679561,0.000489,103,-2.7117205,40.67164721,0.002273,9.4439917,0.004993412,0.005902887,0.000149539,7.5
