FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,197,97.665994,53.90077796,0.010757,-14,208.7,110.524528,23.05411132,0,-1.2,79.276469,0.001720418,2.393208982,0,-5.000914,0.000898829,1.463191655,0.999709,84,-0.095199,3.48132463,0,11.75666815,0.008532128,3.62E-10,4.44E-14,7.3
RUS,240,69.350328,55.22923362,0.000126,35,254.2,117.595889,31.9461841,0,4.6,111.74798,-0.001761776,5.8826729,0,2.3302309,0.021803444,4.003049684,0.282372,113,-0.1942485,7.491180143,0,11.15714035,0.000104609,1.54E-07,1.30E-36,12.6
GER,193,83.21889,54.07614607,0.025849,9,285.8,161.476738,30.22797939,1.00E-06,-10.3,140.957848,-0.000508087,6.983332504,0,-18.5940453,0.040842429,4.823077058,0.999924,153,-0.360556,9.449898292,0,9.57712501,0.02575038,1.10E-06,3.05E-18,5.2
FRA,337,182.852841,104.3611326,0.021347,-4,342.7,219.840733,42.3571893,0.000386,0.5,155.434871,0.009661883,8.824611914,0,-0.632887,0.045852004,5.378588159,0.550927,168,-0.4509035,12.08562593,0,9.11161432,0.01993672,4.11E-07,2.64E-14,6.6
IND,183,157.164088,92.86384516,0.412324,18,264.9,260.013353,53.49713329,0.467948,1.2,-33.157903,-0.000418813,8.976535998,0.999873,-30.5440477,0.077736516,7.002915842,0.999996,-35,0.15683,10.82291108,0.99914,8.7449625,0.4120882,0.6926932,0.8358935,6.1
POL,348,131.815267,83.80373162,0.000128,-11,280.8,155.050724,39.45812619,6.10E-05,-1.8,60.820371,0.025436736,11.53646086,1.00E-06,17.3879588,0.059588752,6.519636651,0.003852,33,-0.382921,17.58128423,0.026107,10.9497047,0.000107712,2.62E-07,3.42E-12,11.3
ESP,285,170.195398,78.92544898,0.053339,-4,322.3,222.349045,37.42252996,0.00209,-5.1,125.495252,0.016478203,10.22099107,0,-19.0790595,0.070827672,6.555166669,0.998212,130,0.225983,13.50792375,0,12.77232107,0.0531048,0.000534743,8.02E-05,3.8
IRI,90,126.287233,87.2790342,0.722806,2,268.9,235.827104,50.05066229,0.25441,-2.9,76.230676,0.014024269,13.77033715,0,-11.1963846,0.153216989,10.22041033,0.866222,71,0.219301,16.96809785,2.00E-06,8.70929698,0.6152418,0.1284382,0.2207461,7.8
UKR,131,39.455492,35.5584173,0.010567,23,247,118.311855,34.85526182,1.40E-05,1.8,82.922366,-0.001838001,14.67884881,0,11.6724156,0.144117417,10.32994618,0.131969,58,-0.580827,18.59489544,0.001017,11.60463547,0.01058568,1.38E-07,5.44E-12,11.5
HUN,83,147.236461,90.13301783,0.865539,-20,236,227.228713,45.19355574,0.441901,-4.3,41.810507,-0.005347589,15.17777748,0.002984,-20.7629089,0.146244155,9.849635297,0.982395,21,-0.48264,20.90666033,0.149034,15.11197133,0.8657619,0.4231118,0.00305266,7
BRA,347,93.508429,75.52233118,9.90E-05,0,407,216.273609,43.87035672,0,-0.1,171.510481,0.000376348,13.76625832,0,13.7951072,0.163871857,9.53314208,0.075976,178,0.9135235,16.47510153,0,13.13542068,9.16E-05,1.04E-11,1.94E-19,8.1
GRE,175,110.639289,84.16410351,0.236014,7,355.1,222.675493,48.11333686,0.000356,-1.6,109.635865,0.023656526,17.82195636,0,21.5504365,0.161321312,10.57628274,0.021446,101,0.4672185,25.55367656,1.80E-05,9.84016921,0.2348886,2.05E-06,3.66E-05,9.2
SRB,232,92.538441,59.68222909,0.003054,-25,255.2,156.955094,33.27529072,0.000438,-0.1,107.541221,0.013689197,13.36085716,0,-25.6916353,0.165814209,9.425528549,0.996622,85.5,1.6651875,18.96832253,8.00E-06,14.22927489,0.002821769,0.000185319,1.28E-09,6.7
TUR,169,160.624565,114.3170398,0.465605,-11,406.4,309.393666,61.44328316,0.052036,-3.3,54.425871,0.003906518,16.84169194,0.000528,11.0330137,0.229394152,12.11560734,0.187097,54,0.6302145,22.72350749,0.009769,7.71766905,0.4356666,0.00056664,0.03414342,6.7
CZE,305,192.953197,93.19539765,0.12555,-3,340.6,253.840744,41.94950765,0.01206,6.6,61.945313,0.019352768,14.97048421,1.40E-05,-36.9237472,0.191600535,10.41177715,0.999797,39,-0.4969605,19.16222641,0.019858,12.45623023,0.1251406,0.04292553,0.1916257,4.4
ITA,237,182.671857,86.59061445,0.274815,-7,327.5,256.597714,39.66122388,0.025871,1,124.870354,-0.000465941,15.97771794,0,-15.1312501,0.178773207,10.55261244,0.926406,132,-0.124524,19.6059124,0,12.32204067,0.2653042,0.00021233,0.000126039,3.4
SRI,332,110.874797,138.7477559,0.002958,29,302.4,116.533046,50.45280958,6.00E-06,12.5,98.301108,0.019904848,17.91425872,0,55.0012912,0.171440598,11.66544408,3.00E-06,104.5,-1.577633,27.24096756,4.00E-06,3.44980625,0.003063172,1.10E-06,1.67E-09,22.1
ROU,215,117.235178,72.68006431,0.081335,9,255.1,159.61725,39.09018196,0.006374,0.5,-21.294654,0.022333341,19.04614734,0.86878,6.7897,0.179007628,11.90691959,0.289834,-38.5,0.2514255,23.42465407,0.953526,12.00782829,0.08153525,0.03304225,0.09327859,9.5
COL,255,55.77722,58.31920923,0.000431,7,303.4,153.001635,40.12126333,6.00E-06,3.3,100.010888,0.001791089,15.18449515,0,-3.0273694,0.212979153,11.22053192,0.614587,81,0.214039,16.15190126,8.00E-06,10.46841699,0.000298498,1.25E-05,2.68E-05,12.3
CUB,264,89.568289,68.00232874,0.000211,6,297.3,117.912386,36.17593982,0,-3.8,84.083921,0.012563537,12.74236398,0,44.4053399,0.216951126,10.1658343,4.00E-06,60,-0.1504895,13.14009891,1.00E-06,10.90531732,0.000197596,1.37E-12,3.90E-13,13
MEX,357,105.11089,82.83245795,3.00E-06,19,352.1,126.485746,41.16059014,0,7.9,179.30473,-0.034615539,18.24284298,0,38.1206241,0.20829042,12.18949217,0.000757,194,1.473242,23.3857932,0,10.45325147,8.13E-07,1.30E-13,4.17E-24,15.4
USA,400,214.787635,100.7274422,0.006214,-9,355.3,262.620136,43.18981056,0.010314,-7.1,53.355654,0.001718627,18.68620717,0.002349,-9.6394615,0.358222371,13.8565973,0.765459,22,-0.150297,22.52261703,0.17227,8.16517323,0.00574815,0.01048579,0.000774482,4.1
GEO,167,51.186777,70.65055835,0.01449,1,157.4,77.785678,38.54465071,0.015542,4.7,-79.202958,-0.002091623,29.58375617,0.996266,63.2684738,0.232611666,17.26053738,0.000117,-144,2.537672,47.7750096,0.999474,6.42753697,0.01445419,0.03225611,0.3229857,25.9
NED,388,212.213467,104.7804393,0.011088,-3,347.8,252.072276,42.15671934,0.007604,0.1,84.223199,-0.012470368,18.68835389,6.00E-06,-28.975753,0.381918892,14.35146305,0.97882,62,0.205521,21.92366766,0.001875,12.08996631,0.01010691,0.01379609,0.01758851,4.6
CHN,137,35.592341,67.61161388,0.044559,2,184.3,63.962036,46.71341289,0.002535,-4.2,94.049363,0.01607643,27.29753067,0.000327,0.5534549,0.244965442,20.73621437,0.4955,59,-0.208564,26.77818115,0.010241,0.21684694,0.04440281,0.01616824,2.72E-07,32
ECU,128,65.571016,88.99773642,0.20582,11,220.8,89.638174,38.37930335,0.000155,4.6,116.854469,0.003009273,23.57251932,1.00E-06,27.3619579,0.166923777,13.4080289,0.02088,121.5,3.564907,36.81972674,7.00E-05,5.93604651,0.205755,0.000248304,7.44E-06,23.1
CRO,305,138.954921,81.3938696,0.01264,2,366.8,231.270014,43.08234176,0.000283,1.2,96.344032,0.025824903,20.22389737,1.00E-06,-9.378754,0.386037331,14.23580289,0.754826,96,-1.545298,28.05583224,3.30E-05,16.13303914,0.01189926,0.000704194,0.08100476,5.6
VIE,347,45.5609,152.0012317,9.30E-05,-4,247.6,40.240179,57.15715553,0,-1.1,90.251114,-0.065027495,29.94123975,0.001287,55.5166584,0.166030762,21.23233805,0.004391,123.5,1.4987465,42.95646796,0.000519,2.75357843,8.31E-05,2.97E-06,0.000303639,39.7
VEN,409,179.900167,111.9147662,0.000768,-12,321,174.23607,47.46768999,0.000439,2.1,5.386155,0.00186028,23.44948095,0.408974,48.8585395,0.384220981,15.90025169,0.000975,-17.5,-0.147912,33.57871888,0.696524,11.51201672,0.000781535,0.003625658,0.20148,9.9
BUL,261,190.094223,133.0234221,0.195669,4,298,141.155937,37.9216808,1.00E-06,-4.1,61.76735,0.011499298,25.79882362,0.008624,62.2584212,0.373337286,16.33872716,4.80E-05,62.5,0.094081,40.6705939,0.055222,10.78296387,0.1952893,4.66E-07,0.00010818,11
ENG,287,169.879469,103.1941928,0.128207,7,346.2,285.688427,48.93655245,0.099085,2.1,69.593846,0.053392828,23.64067837,0.001814,-8.0117712,0.400894815,16.03239563,0.701459,50,0.002393,33.39509216,0.062711,10.42868432,0.1283251,0.009439827,0.02156949,4.7
AUT,364,228.956831,96.26111313,0.033812,-6,318.1,223.317117,39.00170394,0.003606,9.4,150.959479,0.033152366,20.06183504,0,-39.5094142,0.413676135,14.64897309,0.996169,158.5,-0.6857,23.20320581,0,11.11893144,0.03383016,0.000376196,0.000148623,4.1
KAZ,141,101.292458,79.2094155,0.413013,7,268.8,151.218068,45.87798521,0.002902,6.2,28.228719,-0.031118354,31.43093476,0.184286,31.137486,0.326141139,17.16685553,0.036335,15,-0.6903845,54.7089419,0.403843,8.97818545,0.4135462,0.000608967,0.1919024,13.7
SVK,251,167.566216,87.25980146,0.185732,-4,264.6,255.552441,43.09180326,0.42905,4.6,25.082874,0.012358313,22.66907514,0.135071,-40.6648026,0.39282318,14.68603861,0.997271,57.5,-0.570749,30.30656052,0.022824,15.66134479,0.1848455,0.7311988,0.9168891,4
AZE,385,107.351855,97.89672195,0.000164,11,340.6,172.20856,59.53770934,0.000264,-1.7,-14.098639,-0.030189506,34.05678145,0.660157,45.1975148,0.304358385,19.27051621,0.009725,-111,-5.981839,54.72829225,0.959675,9.09593664,0.000184304,0.007902011,0.2251304,17.6
ARG,296,156.217439,80.80623489,0.023799,-2,374.5,245.113513,39.87102333,0.000453,-3.1,28.834004,0.003406455,27.28009619,0.145801,16.8260027,0.419572437,16.39295663,0.158964,13,1.092686,34.58682614,0.373873,11.9274857,0.02204462,0.008737694,0.5176794,3.5
PER,263,141.89586,107.1477509,0.15053,-2,391.3,253.379036,59.9352451,0.005302,0.4,123.336472,-0.053833926,27.36026215,2.00E-06,31.2514097,0.497039331,18.38651244,0.046747,119,1.819994,32.38158047,0.000205,12.34259496,0.1497771,0.001364055,1.50E-06,10.5
SLO,330,139.816522,91.94381396,0.006827,11,340,193.65342,46.51897578,0.000131,8.7,70.356795,0.024817239,26.27302774,0.003868,16.8875951,0.437659047,17.22694403,0.170306,50.5,0.1869025,39.28696604,0.095243,14.34974618,0.006105222,0.000721936,0.08422926,9.9
LTU,-3,55.421531,66.0232395,0.976931,20,246.4,153.190945,47.61644375,0.017303,-0.8,19.45261,0.010378854,30.16797559,0.260317,42.7320491,0.42540742,18.90391599,0.012405,23,-1.6942755,38.90259609,0.253497,7.70833333,1,0.006197458,0.2252513,15.2
POR,418,157.080843,104.5386149,0.000579,-11,391.9,271.331794,50.46035024,0.004093,1,100.004386,0.040870597,28.05474883,0.000169,13.7447947,0.457924755,17.61589801,0.226895,117,-0.5067495,40.45271359,0.001163,12.11079673,0.000603372,0.09654531,0.001183195,6.8
KOR,395,78.413386,143.2886941,0.063457,1,486.2,127.070022,103.9259063,0,-12.2,217.33621,-0.002957868,31.91020779,0,49.6075647,0.444171189,25.22674323,0.023001,174.5,-0.100974,35.47236706,0,-9.07497303,0.06320836,2.05E-12,2.56E-08,32.3
BLR,289,81.84514,81.86759665,0.005719,1,320.7,151.012942,48.8997184,1.00E-05,-1.9,30.403411,-0.106690643,33.11318363,0.178304,24.7944112,0.531806779,21.69830536,0.132369,-43,2.641956,52.45363641,0.798933,7.95882584,0.005822014,0.000149191,0.1761732,18.2
NOR,670,418.23541,164.3636034,0.006179,-12,440.4,366.15708,60.21011925,0.101988,-6.9,24.733777,0.060329612,32.18360986,0.222314,-36.6719468,0.689985611,20.76069215,0.963183,-44.5,1.890848,42.32771166,0.869761,11.30851823,0.005515249,0.2885096,0.9365266,3.6
SWE,222,242.094724,98.91705095,0.633972,-30,362.7,295.078698,45.72644589,0.064415,-5.1,106.27529,-0.033386988,29.91480109,0.000165,-56.0176716,0.576479754,18.81234859,0.998605,67.5,-0.7515165,38.99133086,0.043746,9.47356219,0.6166848,0.0197068,0.1738505,2.8
BEL,319,192.093236,99.95514408,0.110604,21,437.8,310.353868,49.60146767,0.003274,5.3,148.662239,-0.012138315,28.56948821,0,-16.4915186,0.579639852,18.85224079,0.817605,144,1.4464975,35.08697631,4.20E-05,9.23199751,0.110252,0.000353094,0.00037187,3.5
AUS,195,117.07487,83.21679349,0.199311,-3,311.8,260.032033,52.84793242,0.164962,-4.7,-29.290476,0.010905627,31.32878147,0.8252,7.8387047,0.626775246,20.14860138,0.361022,-15.5,3.5428105,40.89235519,0.682895,10,0.1988627,0.4339934,0.9536953,6
ARM,376,114.030129,99.69630642,0.001683,-4,371.6,192.539705,53.64989022,0.00012,-2.2,87.124288,-0.009526899,35.18509172,0.006537,44.5142917,0.576788853,21.9607608,0.022514,70,0.6118755,47.79778991,0.083677,4.33181126,0.001423564,0.000780443,0.06981237,15
MAS,312,199.718511,136.0440127,0.195577,-11,301,218.936659,55.0949286,0.055872,6.2,129.865839,0.036655177,33.86403581,4.70E-05,-12.7380849,0.503197991,19.84840741,0.747418,116,0.04809,46.0874914,0.007834,8.02081744,0.1950606,0.1523543,0.003504905,10.9
ISR,338,148.237535,84.87550322,0.011439,26,343.6,261.804382,48.08666067,0.039209,3.4,4.528162,0.001024356,34.8470907,0.447683,34.68146,0.670609443,21.50633296,0.056268,-37.5,1.496289,50.22479675,0.778122,8.76740791,0.0114921,0.2583359,0.456329,4.7
CHI,529,193.197224,100.134985,0,-6,447.6,263.084664,46.67036448,0,-1.3,170.556763,0.038880505,31.28267295,0,13.9607828,0.592171274,19.44577004,0.246868,203.5,-2.6071985,50.12422746,1.50E-05,9.90475562,7.41E-08,3.14E-05,4.42E-05,5.1
PHI,311,83.611318,65.78168303,0.000142,8,324.7,141.0483,43.01782064,1.80E-05,9.6,133.567097,-0.005749333,34.18823519,6.30E-05,14.2445624,0.704163371,23.41819321,0.283615,115.5,-3.752847,43.66316898,0.002892,12.86034925,0.000136964,0.000452924,0.001991907,13.8
LAT,338,101.960513,100.3338243,0.00143,0,307.6,165.267808,56.18537395,0.002425,-4.9,-18.762772,-0.019443486,37.83566359,0.688601,65.03203,0.606424598,24.22889164,0.003888,-65.5,-3.8878005,47.03510987,0.891557,4.10538956,0.001459777,0.008314491,0.5235406,17.3
RSA,301,126.209985,104.4863248,0.022857,12,342.2,224.406179,59.3277066,0.017243,8.7,91.030215,0.020573929,28.29416617,0.00055,15.3747853,0.724817444,21.17965899,0.246411,93,-0.561411,28.40039781,0.000419,10.69838957,0.02002701,0.07161819,0.000221296,10.9
UZB,243,125.12412,107.0675142,0.099068,20,315.9,156.926418,53.61543989,0.000615,0.3,41.208728,-0.02373985,37.67657682,0.13761,79.8104689,0.763730068,26.33005302,0.0014,42.5,-0.1679115,42.51394995,0.141909,10.91530883,0.09866047,0.001911973,0.01397404,16.1
