FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTSD,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,208,87.493797,54.21646828,0.000246,4,229.1,89.076278,22.34864583,0,1.7,207.53157,6.99E-05,2.817621419,0,14.9826837,0.000880435,1.579848334,0,281,0.0142395,4.059865124,0,15.795097,0.001866232,5.08E-19,3.98E-32,10.1
RUS,205,31.632608,34.41707901,5.00E-06,15,254.3,81.54662,30.76917064,0,2.1,161.24914,-0.006117259,9.448820187,0,51.0002812,0.026971368,5.365788364,0,206,0.019047,16.61196655,0,8.86325854,4.51E-05,3.64E-10,9.86E-15,18.9
IND,183,97.118557,72.49822329,0.102627,18,257.8,152.33357,43.15345507,0.006142,1.8,72.04524,0.004428332,8.185657143,0,3.7131981,0.107130822,8.855672511,0.34216,94,0.033776,8.188339552,0,9.35417059,0.29889304,0.033151553,0.061859149,12.5
FRA,337,176.987438,107.6150033,0.014239,-4,328.2,190.992129,42.47884717,0.000117,-3.5,185.3407,-0.010364136,10.01426482,0,27.1087157,0.056294642,6.087879363,4.00E-06,226.5,-0.5214085,14.34909875,0,12.51354496,0.061979614,6.29E-06,8.59E-19,8.3
GER,193,68.755377,49.66233035,0.009718,9,285.3,144.738637,30.91514385,0,-6.3,214.41364,0.006394878,9.726253678,0,-9.5508255,0.06856602,6.331364797,0.935399,234,0.51465,13.32800054,0,13.62884148,0.049662118,1.53E-06,5.48E-26,7.4
ESP,299,153.504521,79.34975321,0.010503,1,361.3,206.06426,38.03576889,5.00E-06,-1.1,219.82613,-0.004159223,11.42900286,0,4.0872274,0.067428876,6.843443275,0.27884,281,-0.140919,14.91587046,0,17.19911453,0.05025087,1.22E-07,3.65E-13,5.1
POL,348,112.543148,84.315354,3.30E-05,-11,302.6,135.058569,42.35377101,6.00E-06,5.2,141.61753,0.014370146,15.45950783,0,29.3928096,0.096794642,8.97975988,5.00E-04,199,-1.301686,23.84038318,0,12.91477561,0.000281991,2.71E-05,8.84E-11,14.7
IRI,203,170.846656,108.8092128,0.488619,-3,296.3,242.008071,58.60250843,0.177417,1.6,138.3954,0.043597831,13.45678257,0,29.385931,0.142197465,9.755769437,0.001222,174,-0.469002,19.00450389,0,8.67328525,0.71172156,0.24992695,2.04E-05,9.7
TUR,169,95.399341,87.96207679,0.225506,-11,365.1,198.836008,54.57606866,0.000782,5.4,109.0307,-0.015132269,14.07810147,0,34.1547701,0.155726019,11.15206287,0.001022,128,0.096138,16.99513762,0,7.77213166,0.46702393,8.63E-05,1.33E-05,12.6
GRE,220,74.136823,69.50195407,0.029432,24,388.9,182.143419,53.21710477,1.00E-06,2.1,178.02411,0.014507579,18.77053994,0,70.7563698,0.109977441,10.80868267,0,200.5,-1.1356085,28.57927881,0,10.06031256,0.10288704,1.88E-08,1.71E-16,14.2
SRI,426,119.87479,170.5035522,0.000263,-1,354.8,109.513965,60.81410404,0,3.8888889,76.27531,-0.01018359,15.32153334,0,69.2268044,0.133390822,12.64368548,0,52,0.106061,19.23956875,0.002381,2.63315859,0.001895697,2.30E-07,4.63E-07,25.4
CZE,419,173.343791,92.40827371,0.000262,1,384.8,242.131032,44.52584671,0.000159,5.8,211.77567,-0.00013166,17.24681569,0,-52.2046242,0.21203561,11.63233365,0.999996,250,-0.6167045,21.81424262,0,19.42739063,0.002105831,0.003792943,1.09E-05,5.7
ITA,237,151.845106,84.62157362,0.139932,-7,326.7,232.91714,45.29765512,0.012607,2.5,234.53873,0.012308671,18.65747313,0,2.042267,0.184629467,11.30291126,0.434956,298,0.649795,24.38251459,0,19.56513333,0.36556538,1.25E-05,5.49E-11,5.8
