FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,208,125.676785,55.7163834,0.040386,4,229.1,139.630685,24.39078982,5.40E-05,1.7,7.802131,0.005910606,3.832855349,0.020625,5.982553,0.020331573,2.695775406,0.013396,8,0.0510225,5.4813628,0.090283,12.6563559,0.038472113,9.78E-05,3.87E-06,4.2
GER,193,100.501462,63.0196873,0.086661,9,288.7,194.308623,33.67072947,0.001359,-7,81.625802,0.001108794,11.09231088,0,22.624748,0.116719985,6.932224029,0.000449,86,-0.6926725,16.97028213,0,8.8809621,0.086444368,0.002781102,1.07E-09,4.1
RUS,205,62.281531,49.51914957,0.003612,15,258.2,147.675906,37.29742585,0.001923,-0.6,16.503357,0.005039739,14.38405881,0.125414,31.669812,0.153448213,9.473616878,0.000399,-15,-1.2746715,18.60123903,0.743268,12.3408789,0.003697603,0.003779781,0.01573386,9.3
FRA,337,247.326343,105.5769916,0.169273,-4,328.2,287.283172,48.33420478,0.199738,-3.5,19.474882,-0.025073821,14.74545298,0.091645,16.463725,0.288117408,11.32114775,0.075384,18,0.307376,20.49556573,0.191057,15.4195642,0.163284599,0.237622612,0.01497505,3.5
ESP,299,227.765907,89.78439942,0.214901,1,376.2,318.233748,46.27943274,0.102566,-3.6,12.110426,-0.030587779,16.48644427,0.232459,23.176336,0.338249999,11.93959565,0.026292,13,-1.126118,23.35991164,0.294445,13.2794932,0.211404293,0.175103572,0.2417794,1.8
POL,348,155.325862,86.13520372,0.005066,-11,309.4,208.880715,50.01794722,0.023509,3.1,34.51479,-0.002149593,20.7129561,0.046226,42.458196,0.375157585,14.4169855,0.00168,29,0.4865025,30.91957271,0.181079,10.2193713,0.004608711,0.037320212,0.01772901,8.2
CZE,419,233.790645,103.3414705,0.017829,1,384.8,322.266276,47.97479072,0.090846,5.8,4.310731,0.043834135,18.75404506,0.413747,2.854886,0.483006754,13.70451628,0.43784,-4,0.473492,24.41877117,0.57159,14.0963949,0.017630835,0.466418666,0.533198,2.9
SRB,256,138.147723,74.25170649,0.043691,-24,279.5,229.164242,39.42277415,0.097852,-4.1,35.895903,-0.032510419,21.19984237,0.044258,5.308338,0.405482274,13.31037063,0.357706,27.5,0.0884475,29.55972396,0.183481,16.3623075,0.043947711,0.13118402,0.02177511,3.8
HUN,333,216.961371,105.1375407,0.136261,-16,332.7,304.415281,51.5208561,0.297291,-6.5,-5.508779,0.00369151,23.87448822,0.594409,6.673296,0.565803738,16.43994057,0.359193,-6.5,-1.0444955,33.8401359,0.559756,15.5122293,0.136382164,0.516811279,0.6318943,3.9
IND,183,145.759695,91.15630621,0.355102,18,264.9,261.804286,60.5832147,0.471258,1.2,-88.088707,-0.035056106,31.34122181,0.996791,25.270727,0.76048644,21.58497479,0.129351,-167,-3.2607455,42.85764748,0.998775,7.0955102,0.353783932,0.762075389,0.9678068,7.1
