FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,197,81.52412,53.74158723,0.00097,-14,208.7,88.996107,22.51164264,0,-1.2,169.7723584,0.01030286,1.914980921,0,5.43628105,-0.003491489,1.032945986,0,228,0.06467,2.866719866,0,13.8839197,0.0006477,8.71E-19,1.39E-30,10.5
RUS,240,55.31662,51.67114874,0,35,254.2,93.701313,31.01906559,0,4.6,171.1645032,-0.013371952,5.531730268,0,22.8257448,0.0130796,2.708423815,0,235,0.08644,9.157161576,0,10.62803334,3.07E-06,1.19E-12,6.78E-56,16.6
IND,183,107.69056,74.23422908,0.14742,18,257.8,165.079745,42.77681703,0.01209,1.8,73.46754253,-0.007141519,5.190116078,0,8.181747273,0.015735269,4.552600163,0.03617,88,-0.12653,5.811340651,0,8.92958155,0.145999146,0.024100774,0.011084811,10.7
FRA,337,160.01371,104.1637428,0.00585,-4,342.7,190.64853,40.93308379,2.00E-05,0.5,188.106596,0.03985493,7.393324647,0,25.91750289,0.029014137,4.231819727,0,227,-0.08418,11.4295498,0,12.34656057,0.00524529,4.56E-12,5.18E-26,8.8
GER,193,71.66323,49.06083892,0.00916,9,284.6,142.382511,29.23765839,0,-6.8,191.5076957,0.008753605,6.427587731,0,-22.79305329,0.010841917,4.346049909,1,215.5,0.158345,8.723293779,0,13.96583265,0.008328068,3.10E-10,1.66E-22,6.6
POL,348,114.93995,84.01911154,1.00E-05,-11,280.8,130.498524,38.75396788,0,-1.8,126.4567353,-0.048382168,9.946758817,0,12.47734775,0.021456819,5.232502065,0.00865,160,-0.528005,14.33868171,0,11.89981517,4.74E-06,4.47E-12,8.89E-19,14.3
ESP,285,144.27238,75.64672834,0.01024,-4,314.1,185.735807,34.96083309,0,-4.6,187.4253556,0.01233961,8.371557356,0,-0.635765403,0.052490029,5.030561803,0.55444,231,-0.49736,11.37254229,0,16.25751535,0.010105982,3.24E-08,3.79E-11,5.6
IRI,203,166.32556,106.0339046,0.47707,-3,278.9,208.512706,48.05493879,0.05681,-0.9,107.5049586,-0.015574805,9.455455579,0,24.64917959,0.058079473,6.274681391,1.00E-05,129.5,0.10215,13.5415315,0,7.559121344,0.387058202,0.008315818,2.66E-05,10
TUR,169,106.76091,90.39450341,0.28116,-11,345.7,205.458923,50.49017596,0.00066,3.3,103.1872025,0.04444884,10.21428581,0,28.0121233,0.106412914,7.738561515,0.00014,119,0.319655,13.36896119,0,7.885015904,0.249456635,7.29E-08,3.75E-07,10.9
SRI,332,64.7712,77.42504653,4.00E-05,29,343.8,104.399928,52.07907108,0,13.83333333,81.17719038,0.105204842,10.29569244,0,60.22570742,0.16393511,8.545814427,0,65,0.026415,12.72129395,0,2.057417555,3.22E-05,1.10E-08,5.92E-09,25.5
GRE,175,78.45015,68.17876015,0.09679,7,313.1,172.03548,47.15953797,0.00012,0.6,164.3624459,0.070881246,13.63063501,0,44.66970141,0.056576347,7.823079296,0,207,-0.154565,21.75879609,0,10.31642631,0.097146295,1.98E-06,9.03E-12,12.8
UKR,131,32.90013,32.23874371,0.00405,23,247,99.545896,33.21453976,0,1.8,156.2358756,0.027710411,14.26183369,0,-10.8707326,0.109357878,8.689885044,0.89681,154,-0.24126,18.04321295,0,11.71126056,0.003871894,1.26E-10,5.48E-18,13.9
BRA,347,67.50429,62.46173694,0,0,407,175.117068,42.78182139,0,-0.1,247.2930737,0.018995445,11.8167112,0,12.17855836,0.044711598,7.596796377,0.05406,276,0.01519,16.2013993,0,14.82797244,4.76E-07,2.77E-21,2.59E-38,11.7
