include_junior,include_inactive,min_rating,metric,signif,n,method
FALSE,FALSE,1000,mean,female-slanted,1,fdr
FALSE,FALSE,1000,mean,male-slanted,24,fdr
FALSE,FALSE,1000,mean,nonsignificant,21,fdr
FALSE,FALSE,1000,mean,female-slanted,3,none
FALSE,FALSE,1000,mean,male-slanted,28,none
FALSE,FALSE,1000,mean,nonsignificant,15,none
FALSE,FALSE,1000,median,female-slanted,1,fdr
FALSE,FALSE,1000,median,male-slanted,21,fdr
FALSE,FALSE,1000,median,nonsignificant,24,fdr
FALSE,FALSE,1000,median,female-slanted,3,none
FALSE,FALSE,1000,median,male-slanted,22,none
FALSE,FALSE,1000,median,nonsignificant,21,none
FALSE,FALSE,1000,sd,female-slanted,8,fdr
FALSE,FALSE,1000,sd,male-slanted,2,fdr
FALSE,FALSE,1000,sd,nonsignificant,36,fdr
FALSE,FALSE,1000,sd,female-slanted,11,none
FALSE,FALSE,1000,sd,male-slanted,6,none
FALSE,FALSE,1000,sd,nonsignificant,29,none
FALSE,FALSE,1000,top1,male-slanted,10,fdr
FALSE,FALSE,1000,top1,nonsignificant,36,fdr
FALSE,FALSE,1000,top1,male-slanted,14,none
FALSE,FALSE,1000,top1,nonsignificant,32,none
FALSE,FALSE,1000,top10,male-slanted,10,fdr
FALSE,FALSE,1000,top10,nonsignificant,36,fdr
FALSE,FALSE,1000,top10,male-slanted,19,none
FALSE,FALSE,1000,top10,nonsignificant,27,none
FALSE,TRUE,1000,mean,female-slanted,1,fdr
FALSE,TRUE,1000,mean,male-slanted,56,fdr
FALSE,TRUE,1000,mean,nonsignificant,20,fdr
FALSE,TRUE,1000,mean,female-slanted,2,none
FALSE,TRUE,1000,mean,male-slanted,57,none
FALSE,TRUE,1000,mean,nonsignificant,18,none
FALSE,TRUE,1000,median,female-slanted,1,fdr
FALSE,TRUE,1000,median,male-slanted,44,fdr
FALSE,TRUE,1000,median,nonsignificant,32,fdr
FALSE,TRUE,1000,median,female-slanted,2,none
FALSE,TRUE,1000,median,male-slanted,49,none
FALSE,TRUE,1000,median,nonsignificant,26,none
FALSE,TRUE,1000,sd,female-slanted,8,fdr
FALSE,TRUE,1000,sd,male-slanted,7,fdr
FALSE,TRUE,1000,sd,nonsignificant,62,fdr
FALSE,TRUE,1000,sd,female-slanted,13,none
FALSE,TRUE,1000,sd,male-slanted,18,none
FALSE,TRUE,1000,sd,nonsignificant,46,none
FALSE,TRUE,1000,top1,male-slanted,41,fdr
FALSE,TRUE,1000,top1,nonsignificant,36,fdr
FALSE,TRUE,1000,top1,male-slanted,44,none
FALSE,TRUE,1000,top1,nonsignificant,33,none
FALSE,TRUE,1000,top10,male-slanted,60,fdr
FALSE,TRUE,1000,top10,nonsignificant,17,fdr
FALSE,TRUE,1000,top10,male-slanted,62,none
FALSE,TRUE,1000,top10,nonsignificant,15,none
TRUE,FALSE,1000,mean,male-slanted,74,fdr
TRUE,FALSE,1000,mean,nonsignificant,5,fdr
TRUE,FALSE,1000,mean,male-slanted,74,none
TRUE,FALSE,1000,mean,nonsignificant,5,none
TRUE,FALSE,1000,median,male-slanted,67,fdr
TRUE,FALSE,1000,median,nonsignificant,12,fdr
TRUE,FALSE,1000,median,male-slanted,68,none
TRUE,FALSE,1000,median,nonsignificant,11,none
TRUE,FALSE,1000,sd,female-slanted,5,fdr
TRUE,FALSE,1000,sd,male-slanted,14,fdr
TRUE,FALSE,1000,sd,nonsignificant,60,fdr
TRUE,FALSE,1000,sd,female-slanted,9,none
TRUE,FALSE,1000,sd,male-slanted,17,none
TRUE,FALSE,1000,sd,nonsignificant,53,none
TRUE,FALSE,1000,top1,male-slanted,36,fdr
TRUE,FALSE,1000,top1,nonsignificant,43,fdr
TRUE,FALSE,1000,top1,male-slanted,52,none
TRUE,FALSE,1000,top1,nonsignificant,27,none
TRUE,FALSE,1000,top10,male-slanted,65,fdr
TRUE,FALSE,1000,top10,nonsignificant,14,fdr
TRUE,FALSE,1000,top10,male-slanted,66,none
TRUE,FALSE,1000,top10,nonsignificant,13,none
TRUE,TRUE,1000,mean,male-slanted,93,fdr
TRUE,TRUE,1000,mean,nonsignificant,6,fdr
TRUE,TRUE,1000,mean,male-slanted,93,none
TRUE,TRUE,1000,mean,nonsignificant,6,none
TRUE,TRUE,1000,median,male-slanted,86,fdr
TRUE,TRUE,1000,median,nonsignificant,13,fdr
TRUE,TRUE,1000,median,male-slanted,86,none
TRUE,TRUE,1000,median,nonsignificant,13,none
TRUE,TRUE,1000,sd,female-slanted,9,fdr
TRUE,TRUE,1000,sd,male-slanted,14,fdr
TRUE,TRUE,1000,sd,nonsignificant,76,fdr
TRUE,TRUE,1000,sd,female-slanted,12,none
TRUE,TRUE,1000,sd,male-slanted,27,none
TRUE,TRUE,1000,sd,nonsignificant,60,none
TRUE,TRUE,1000,top1,male-slanted,65,fdr
TRUE,TRUE,1000,top1,nonsignificant,34,fdr
TRUE,TRUE,1000,top1,male-slanted,68,none
TRUE,TRUE,1000,top1,nonsignificant,31,none
TRUE,TRUE,1000,top10,male-slanted,91,fdr
TRUE,TRUE,1000,top10,nonsignificant,8,fdr
TRUE,TRUE,1000,top10,male-slanted,91,none
TRUE,TRUE,1000,top10,nonsignificant,8,none
